HUMS.Healthy',HUMS.Unhealthy',BMRQ.Social_Reward',BMRQ.Musical_Seeking',BMRQ.Mood_Regulation',BMRQ.Sensory_Motor',BMRQ.Emotional_Evocation',IRI.Perspective_Taking',IRI.Fantasy',IRI.Empathic_Concern',IRI.Personal_Distress',EC.Happiness',EC.Love',EC.Fear',EC.Anger',EC.Sadness',P.Extraversion',P.Agreeableness',P.Conscientiousness',P.Neuroticism',P.Openness'
17,19,15,8,16,13,16,27,27,28,17,10,8,6,7,7,24,26,24,30,41
20,14,18,15,14,12,15,23,24,34,19,10,10,9,8,6,19,33,30,23,37
21,18,17,16,17,15,15,30,33,32,19,8,11,10,7,9,27,37,35,20,38
17,15,17,14,18,13,16,18,17,19,19,10,9,5,9,8,20,35,32,23,28
17,14,13,14,17,20,18,27,32,35,24,12,12,8,7,11,35,39,26,31,43
18,10,13,15,17,11,12,20,26,25,18,12,8,6,9,6,32,37,27,22,41
21,13,16,14,18,18,18,26,21,32,18,12,8,7,8,9,34,36,31,20,40
18,16,15,15,14,16,14,25,18,26,20,8,8,8,10,6,18,26,38,23,43
16,13,10,13,15,15,16,25,28,27,17,9,10,8,8,8,20,31,31,20,40
25,8,17,16,20,15,17,19,22,23,20,9,9,7,7,7,30,30,26,21,32
20,25,17,12,18,17,17,27,28,28,18,7,9,7,6,6,25,31,22,24,35
21,22,11,12,16,6,16,27,25,21,14,9,9,5,6,5,26,41,45,8,42
22,18,17,15,20,11,17,21,23,26,24,11,10,9,10,11,28,34,33,23,42
20,18,13,19,18,20,17,22,33,33,24,12,12,11,9,10,23,27,17,24,44
23,19,15,13,19,20,15,21,28,31,19,12,12,8,9,8,36,31,28,34,38
10,16,8,10,7,7,7,16,15,19,15,3,3,3,3,3,24,17,29,12,18
25,17,20,20,20,17,19,29,32,30,13,11,12,6,7,9,32,41,37,9,43
20,12,13,12,14,12,15,23,18,27,21,9,8,9,8,8,25,32,29,23,36
14,13,11,11,16,17,15,27,20,22,18,10,8,9,10,7,23,42,40,18,38
24,9,17,18,19,17,18,28,33,31,12,12,12,9,11,11,34,38,29,18,43
15,14,15,11,17,17,16,26,28,25,27,9,3,7,6,8,11,34,16,33,45
17,19,15,12,14,11,19,27,30,25,25,11,12,9,6,10,30,35,23,31,32
16,16,15,12,14,18,15,21,25,25,21,8,10,8,8,10,25,33,30,34,39
22,17,20,17,18,16,20,18,28,27,27,11,11,8,10,10,38,35,32,32,34
22,18,16,14,19,20,18,25,28,35,21,11,12,8,10,10,35,35,40,32,49
19,17,12,12,15,15,16,29,30,33,20,9,9,10,9,10,17,34,32,28,34
20,15,12,13,17,12,17,23,19,29,13,12,9,7,6,9,26,37,32,16,41
15,8,9,11,14,12,10,18,12,24,17,5,6,3,3,4,23,37,41,12,33
24,26,19,17,20,19,19,30,32,33,24,12,12,10,10,10,33,42,36,17,44
20,30,8,17,20,19,17,34,34,27,26,8,9,7,10,11,19,43,37,28,41
14,12,15,14,14,19,12,17,22,26,28,12,12,10,8,8,22,33,28,27,36
22,19,18,15,19,12,17,26,26,24,18,9,12,7,9,7,18,35,30,23,40
19,15,15,13,17,13,19,26,24,27,20,9,9,7,9,6,22,39,35,26,32
23,14,17,14,19,19,19,18,27,30,28,12,12,12,9,10,27,37,27,35,37
19,21,17,16,18,16,19,12,31,25,28,11,12,9,11,9,21,28,23,39,34
